google.com,a,google.com.		114	IN	A	142.251.211.238

google.com,cname,google.com.		60	IN	SOA	ns1.google.com. dns-admin.google.com. 742200894 900 900 1800 60

msn.com,a,msn.com.		2293	IN	A	204.79.197.219

msn.com,cname,msn.com.		3600	IN	SOA	ns1-204.azure-dns.com. azuredns-hostmaster.microsoft.com. 1 3600 300 2419200 3600

upwork.com,a,upwork.com.		30	IN	A	104.18.89.237

upwork.com,a,upwork.com.		30	IN	A	104.18.90.237

upwork.com,cname,upwork.com.		1800	IN	SOA	fay.ns.cloudflare.com. dns.cloudflare.com. 2369271077 10000 2400 604800 1800

github.com,a,github.com.		7	IN	A	140.82.116.4

github.com,cname,github.com.		3575	IN	SOA	dns1.p08.nsone.net. hostmaster.nsone.net. 1656468023 43200 7200 1209600 3600

yahoo.com,a,yahoo.com.		1127	IN	A	74.6.143.25

yahoo.com,a,yahoo.com.		1127	IN	A	74.6.143.26

yahoo.com,a,yahoo.com.		1127	IN	A	74.6.231.21

yahoo.com,a,yahoo.com.		1127	IN	A	98.137.11.164

yahoo.com,a,yahoo.com.		1127	IN	A	98.137.11.163

yahoo.com,a,yahoo.com.		1127	IN	A	74.6.231.20

yahoo.com,cname,yahoo.com.		491	IN	SOA	ns1.yahoo.com. hostmaster.yahoo-inc.com. 2025040706 3600 300 1814400 600

